标题，链接，发布日期，金额，地区，招标编号，类型，爬取时间
"国网黑龙江电力七台河供电公司2026年第二次服务类框架协议授权竞争性谈判采购变更公告1 2026-04-04","","2026-04-04","","国网黑龙江","","采购, 公告, 谈判, 变更","2026-04-05T14:47:55.154309"
"中电装备2026年巴西东北部新能源送出±800千伏特高压直流输电项目第二次服务类（件杂货国内地面及海运运输服务、运输技术服务）公开谈判采购 2026-04-03","","2026-04-03","","中电装备","","采购, 谈判","2026-04-05T14:47:55.154364"
"国网江西电力2026年第一次配网（省网）协议库存物资类公开招标采购 2026-04-03","","2026-04-03","","国网江西","","招标, 采购","2026-04-05T14:47:55.154393"
"国网福建电力2026年第二次物资公开招标采购变更公告1 2026-04-03","","2026-04-03","","国网福建","","招标, 采购, 公告, 变更","2026-04-05T14:47:55.154418"
"国网西藏电力供电单位2026年服务第二次区域联合授权竞争性谈判采购项目变更公告1 2026-04-03","","2026-04-03","","国网西藏","","采购, 公告, 谈判, 变更","2026-04-05T14:47:55.154442"
"国网辽宁省电力有限公司2026年第二次服务第一区联合采购授权框架竞争性谈判采购 2026-04-03","","2026-04-03","","国网辽宁","","采购, 谈判","2026-04-05T14:47:55.154465"
"国网陕西省电力有限公司2026年第二次工程、服务集中招标采购项目变更公告1 2026-04-03","","2026-04-03","","国网陕西","","招标, 采购, 公告, 变更","2026-04-05T14:47:55.154489"
"国网辽宁省电力有限公司2026年第二次服务第一区联合采购授权竞争性谈判采购 2026-04-03","","2026-04-03","","国网辽宁","","采购, 谈判","2026-04-05T14:47:55.154524"
"国网上海市电力公司2026年服务第二次谈判采购 2026-04-03","","2026-04-03","","国网上海","","采购, 谈判","2026-04-05T14:47:55.154548"
"国网上海市电力公司2026年服务第三次公开招标采购 2026-04-03","","2026-04-03","","国网上海","","招标, 采购","2026-04-05T14:47:55.154568"
"国网华中分部2026年第一批零星采购服务类公开竞争性谈判变更公告1 2026-04-03","","2026-04-03","","国网","","采购, 公告, 谈判, 变更","2026-04-05T14:47:55.154592"
"中国电力科学研究院有限公司2026年物资类第三次公开竞争性谈判采购（二） 2026-04-03","","2026-04-03","","中国电力","","采购, 谈判","2026-04-05T14:47:55.154611"
"中国电力科学研究院有限公司2026年物资类第三次公开竞争性谈判采购（一） 2026-04-03","","2026-04-03","","中国电力","","采购, 谈判","2026-04-05T14:47:55.154634"
"中国电力科学研究院有限公司2026年服务类第三次公开竞争性谈判采购（四） 2026-04-03","","2026-04-03","","中国电力","","采购, 谈判","2026-04-05T14:47:55.154653"
"中国电力科学研究院有限公司2026年服务类第三次公开竞争性谈判采购（二） 2026-04-03","","2026-04-03","","中国电力","","采购, 谈判","2026-04-05T14:47:55.154671"
"中国电力科学研究院有限公司2026年服务类第三次公开竞争性谈判采购（一） 2026-04-03","","2026-04-03","","中国电力","","采购, 谈判","2026-04-05T14:47:55.154690"
"国网辽宁电力2026年第一次特种设备维保授权框架联合竞争性谈判采购 2026-04-03","","2026-04-03","","国网辽宁","","采购, 谈判","2026-04-05T14:47:55.154708"
"国网安徽电力第二片区2026年第二次服务类区域联合授权竞争性谈判采购 2026-04-03","","2026-04-03","","国网安徽","","采购, 谈判","2026-04-05T14:47:55.154732"
"国网辽宁电力2026年第一次设备检测试验服务授权框架联合竞争性谈判采购 2026-04-03","","2026-04-03","","国网辽宁","","采购, 谈判","2026-04-05T14:47:55.154751"
"国网辽宁电力2026年第一次电网工程咨询服务授权框架联合竞争性谈判采购 2026-04-03","","2026-04-03","","国网辽宁","","采购, 谈判","2026-04-05T14:47:55.154774"
"新疆信息产业有限责任公司2026年第三批二次竞价项目成交公告 2026-04-04","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040411771819_2018060501171111","2026-04-04","","新疆","","公告","2026-04-05T14:47:55.155034"
"国网江苏电力2026年原集体企业第二次物资公开招标采购-1项目-中标结果公告 2026-04-04","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040411660607_2018060501171111","2026-04-04","","国网江苏","","招标, 中标, 采购, 公告","2026-04-05T14:47:55.155056"
"国网江苏电力2026年原集体企业第二次服务公开招标采购中标人名单 2026-04-04","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040411623580_2018060501171111","2026-04-04","","国网江苏","","招标, 中标, 采购","2026-04-05T14:47:55.155076"
"国网江苏电力2026年原集体企业第二次物资公开招标采购-3中标结果公告 2026-04-04","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040411534869_2018060501171111","2026-04-04","","国网江苏","","招标, 中标, 采购, 公告","2026-04-05T14:47:55.155095"
"国网江苏电力2026年原集体企业第二次物资公开招标采购-2中标公告 2026-04-04","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040411501232_2018060501171111","2026-04-04","","国网江苏","","招标, 中标, 采购, 公告","2026-04-05T14:47:55.155114"
"采购结果公告-ZXBDTGK-2026QLH03-FW03 2026-04-03","https://sgccetp.com.cn/portal/#/doc/doci-win/2026040310892888_2018060501171111","2026-04-03","","","","采购, 公告","2026-04-05T14:47:55.155137"
"国网西藏电力建设有限公司2026年第一次新增服务远程异地评审授权竞争性谈判采购 2026-04-03","https://sgccetp.com.cn/portal/#/doc/doci-bid/2026040310781298_2018032900295987","2026-04-03","","国网西藏","","采购, 谈判","2026-04-05T14:47:55.155157"
